Regions,UniqueSiteName,SF,Headcount
Europe,PW-Aarhus,"1,658.00",9
NA,PW-Atlanta,"67,383.00",182
NA,PW-Austin,"14,677.00",64
NA,PW-Bainbridge-Fort Ward,"2,406.00",17
NA,PW-Boston NN,"5,500.00",15
NA,PW-Boston-7th Floor,"24,930.00",127
NA,PW-Calgary-11th ave,"4,460.00",19
NA,PW-Calgary-9th ave,,
NA,PW-Charlotte,"6,201.00",24
NA,PW-Chicago,"60,440.00",237
Europe,PW-Copenhagen,"11,679.00",74
NA,PW-Dallas,"40,273.00",237
NA,PW-Denver,"12,509.00",78
Europe,PW-Dublin,"1,291.67",10
NA,PW-Durham,"11,910.00",27
NA,PW-Houston - 19th Floor,"19,968.00",77
Europe,PW-London-150,"15,300.00",185
NA,PW-Los Angeles - Spring Street,"7,502.00",58
NA,PW-Los Angeles NN,"4,795.00",8
NA,PW-Minneapolis,"11,832.00",74
LATAM,PW-Monterrey,"4,208.68",38
NA,PW-Oakland NN,"3,369.00",11
NA,PW-Ottawa,"4,263.00",22
NA,PW-Philadelphia,"3,812.00",8
NA,PW-Portland NN,"6,486.00",23
NA,PW-San Diego,"4,263.00",7
NA,PW-San Francisco,"21,169.00",81
LATAM,PW-Sao Paulo,"7,222.58",75
NA,PW-Seattle,"24,039.00",102
NA,PW-Seattle NN,"6,438.00",16
APAC,PW-Shanghai,"16,382.66",63
APAC,PW-Singapore,"936.00",3
NA,PW-Toronto,"10,545.00",67
NA,PW-Vancouver - Georgia Str,"13,873.00",146
NA,PW-Washington DC,"14,317.00",84
NA,PW-Miami,"13,729",44
NA,PW-New York,"11,078",121
NA,Orlando NN,"3,369",4
Europe,PW-Paris,"3,913",52
NA,PW-San Antonio,"3,493",12

